object_id,koi_period,koi_prad,koi_teq,koi_insol,koi_disposition,category,score,flags,disposition_compare,is_disposition_match,color_hint
K03878.01,70.9672087,2.84,438.0,8.66,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K03645.01,4.45543346,51.69,1106.0,354.27,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03646.01,14.32388995,45.93,720.0,63.62,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03647.01,20.42723232,601.32,749.0,74.27,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K07791.01,106.18732,231.85,2660.0,11829.18,CANDIDATE,anomalous_signal,0.7,FLAG_RADIUS_TOO_LARGE,mismatch,False,red
K01922.03,105.6552651,4.22,407.0,6.51,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K03648.01,4.029803201,47.58,1233.0,545.64,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03649.01,1.303858554,73.29,2080.0,4438.11,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K00416.03,9.74765878,0.78,679.0,50.3,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K02004.02,3.18899015,0.98,1309.0,693.65,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K07798.01,309.89103,2.15,314.0,2.3,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K03725.01,1.570518376,450.76,4106.0,67267.85,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03726.01,115.9943364,13.66,265.0,1.16,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03727.01,0.623441636,29.19,1711.0,2025.22,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03803.01,14.5417471,163.25,1494.0,1176.23,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03804.01,2.81753381,52.91,1494.0,1180.61,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02039.02,0.762132307,0.75,1872.0,2913.14,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K03805.01,56.6993107,539.16,1261.0,598.36,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03806.01,161.252247,4.49,303.0,2.0,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03879.01,0.867719291,37.79,2106.0,4662.2,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03880.01,1.803697292,1.0,1783.0,2385.75,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K03881.01,0.84112187,39.34,1514.0,1240.91,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03882.01,0.828326025,49.67,1845.0,2739.59,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03883.01,1.219324537,60.62,1569.0,1432.21,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03650.01,2.401751509,268.75,888.0,146.91,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03651.01,36.97709537,59.66,546.0,21.08,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03652.01,16.37188364,70.73,840.0,117.9,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03653.01,2.617284592,162.67,2013.0,3885.11,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03654.01,10.14873521,71.11,1045.0,281.19,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03655.01,2.897436854,64.69,1277.0,627.44,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03728.01,5.546083089,22.27,2336.0,7027.09,CANDIDATE,hot_jupiter_candidate,0.65,,mismatch,False,red
K03729.01,6.87366398,12.01,859.0,128.52,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
